Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
53,MD5,0.0,8502,True,0.9539480209350586,4.0,0.0,0.00011766090128250244
54,SHA-256,0.0,8500,True,0.9869132041931152,4.8125,0.0,0.00011769985066831308
54,SHA-512,0.0,8501,True,1.014171838760376,5.71875,0.0,0.00011769855194000178
54,SHA-3-256,0.0,8501,True,1.0631756782531738,4.9375,0.0,0.00011768773031856459
54,SHA-3-512,0.0,8503,True,0.7748925685882568,5.90625,0.0,0.0001176734488249189
54,MD5,0.0,8500,True,0.6922852993011475,4.0,0.0,0.00011768859597504864
55,SHA-256,0.0,8501,True,0.7543096542358398,4.8125,0.0,0.00011768599904379987
55,SHA-512,0.0,8501,True,0.6887552738189697,5.71875,0.0,0.00011769855194000178
55,SHA-3-256,0.0,8503,True,0.7898740768432617,4.9375,0.0,0.00011766003603338465
55,SHA-3-512,0.0,8504,True,0.6874275207519531,5.90625,0.0,0.00011765960341359786
55,MD5,0.0,8502,True,0.7758512496948242,4.0,0.0,0.00011766090128250244
56,SHA-256,0.0,8503,True,0.7173466682434082,4.8125,0.0,0.00011765830557332548
56,SHA-512,0.0,8500,True,0.7042582035064697,5.71875,0.0,0.00011771240651979453
56,SHA-3-256,0.0,8502,True,0.6834540367126465,4.9375,0.0,0.0001176738815465276
56,SHA-3-512,0.0,8500,True,0.7032246589660645,5.90625,0.0,0.00011771500461663395
56,MD5,0.0,8502,True,0.6874113082885742,4.0,0.0,0.00011766090128250244
57,SHA-256,0.0,8501,True,0.6829304695129395,4.8125,0.0,0.00011768599904379987
57,SHA-512,0.0,8504,True,0.6874284744262695,5.71875,0.0,0.00011765700776168435
57,SHA-3-256,0.0,8502,True,0.6894822120666504,4.9375,0.0,0.0001176738815465276
57,SHA-3-512,0.0,8503,True,0.6809897422790527,5.90625,0.0,0.0001176734488249189
57,MD5,0.0,8502,True,0.7110085487365723,4.0,0.0,0.00011766090128250244
58,SHA-256,0.0,8503,True,0.6738631725311279,4.8125,0.0,0.00011765830557332548
58,SHA-512,0.0,8504,True,0.6724586486816406,5.71875,0.0,0.00011765700776168435
58,SHA-3-256,0.0,8502,True,0.7042007446289062,4.9375,0.0,0.0001176738815465276
58,SHA-3-512,0.0,8504,True,0.6882481575012207,5.90625,0.0,0.00011765960341359786
58,MD5,0.0,8500,True,0.6718084812164307,4.0,0.0,0.00011768859597504864
59,SHA-256,0.0,8501,True,0.6741106510162354,4.8125,0.0,0.00011768599904379987
59,SHA-512,0.0,8501,True,0.7210979461669922,5.71875,0.0,0.00011769855194000178
59,SHA-3-256,0.0,8501,True,0.69449782371521,4.9375,0.0,0.00011768773031856459
59,SHA-3-512,0.0,8500,True,0.6802871227264404,5.90625,0.0,0.00011771500461663395
59,MD5,0.0,8501,True,0.6773135662078857,4.0,0.0,0.00011767474699929257
60,SHA-256,0.0,8503,True,0.8290700912475586,4.8125,0.0,0.00011765830557332548
60,SHA-512,0.0,8505,True,0.8347189426422119,5.71875,0.0,0.00011764316621876344
60,SHA-3-256,0.0,8500,True,0.8124125003814697,4.9375,0.0,0.00011770158235064635
60,SHA-3-512,0.0,8501,True,0.9835593700408936,5.90625,0.0,0.00011770114942528596
60,MD5,0.0,8501,True,0.8125119209289551,4.0,0.0,0.00011767474699929257
